ProductID,Product,Price(Rs)
,,
1,A hole punch,150
2,A4 Color Paper,200
3,A4 Size White Paper,20
4,Attendance Register,10
5,Ball pen,45
6,Black Marker,350
7,Blowpens (Pack of 10),500
8,Bottle,510
9,Calculator,200
10,Carbon Paper,30
11,Card Sheet,5
12,Cash Book,5
13,Cell (AA) (Pack of 8),400
14,Cell (AAA) (Pack of 4),80
15,Chart Paper,75
16,Colour Pencils (Pack of 12),150
17,Document Holder,60
18,Drawing Pins (Pack of 20),100
19,Envelopes / Organizers (Pack of 10),410
20,Eraser,210
21,Fevi Quick,5
22,Fevi Stick,15
23,Fevicol,350
24,Fountain Ink Pen,2
25,Gel pen,30
26,HB Pencil (Pack of 20),470
27,Heavy Duty Punching Machine,90
28,Highlighter pens (Pack of 7),470
29,Ink-jet cartridges (Pack of 3),135
30,Lamination Sheet,78
31,Lined / unlined paper (100 Sheets),10
32,Liquid paper / correction fluid,50
33,Lock,100
34,Log Book,10
35,Lunch Box,10
36,Mask,40
37,Mug,20
38,Name Plate,15
39,Notepad (200 Pages),35
40,Notice Board Pin,28
41,Numbering Machin,40
42,Odonil,10
43,Office File,200
44,Paper Weight,400
45,PaperClip (Pack of 5),15
46,Pen Holder,10
47,Pen Stand,8
48,Pencil Box,17
49,Permanent Marker,23
50,Polythene bags (Avoid it),49
51,Post-it notes (200 Sheets),10
52,Ring binders (Set of 2),25
53,Rubber Band (Pack of 20),23
54,Ruler (15 cm),20
55,Ruler (30 cm),10
56,Safety Pin (Pack of 10),55
57,Sanitizer,43
58,School Bag,56
59,Scissor (Art & Craft),48
60,Sellotape,10
61,Sharpner,40
62,Shorthand Diary,20
63,Sketchpens (Pack of 20),15
64,Stamp,350
65,Stamp Pad Ink,45
66,Stapler,50
67,Stapler Pins,30
68,Stapler Remover,45
69,Tags (Every Colour),35
70,Tape,25
71,Thread (Pack of 50),40
72,Tie Cutter,38
73,Transparancy Back Sheet,25
74,Transparent Sheet,32
75,Voucher File,56
76,White Board,46
77,White Board Duster,50
78,White Board Marker,150
79,White Board Marker Ink,45
80,Whitener,65
